Key,English Text,Arabic Text
MESSAGE.WORKFLOWSTEP.DUPLICATE,A workflow step already exist with same entity and status,توجد خطوة في سير العمل بنفس الجهات والحالة
MESSAGE.WORKFLOWSTEP.MISSINGSTEP,There is a missing step for the following combination ,توجد خطوة مفقودة للتركيبة التالية
LABEL.OPTION,Dropdown Option,القائمة المنسدلة
LABEL.OPTIONREQ,Dropdown Option is Required,القائمة المنسدلة مطلوبة
LABEL.ADDOPTION,Add Dropdown Option,إضافة خيار للقائمة المنسدلة
MESSAGE.WORKFLOWSTEP.MISSINGCOMPLETIONSTEP,There is no completed or closed action added,لا توجد إجراءات مضافة مغلقة او مكتملة
MESSAGE.WORKFLOWSTEP.SAVECHANGES,Please save changes before proceeding,يرجى حفظ التغييرات قبل المتابعة
LABEL.REQUESTINFO,Request Information,معلومات الخدمة
LABEL.ACTIVITYLOG,ActivityLog,سجل التحديثات
LABEL.TITLEREQ,Title is required,العنوان مطلوب
LABEL.SUBMITTED,Submitted,مرسلة
LABEL.DRAFT,Draft,مسودة
BUTTON.LABEL.NEWSERVICE,New Service,خدمة جديدة
LABEL.REQUESTID,Request Number,رقم الطلب
MESSAGE.REQUEST.SUBMITTED,Request has been submitted.,تم تقديم الطلب بنجاح
BUTTON.LABEL.SAVEASDRAFT,Save As Draft,حفظ كمسودة
LABEL.OBSERVATION.TITLE,Title,العنوان
LABEL.OBSERVATION.SUBJECT,Subject,الموضوع
LABEL.OBSERVATION.TYPE,Type,النوع
LABEL.OBSERVATION.LEVEL,Level,المستوى
LABEL.DISCUSSION,Discussion,المناقشة
LABEL.CONCLUSION,Conclusion,الخاتمة
LABEL.INITIAL.RECOMMENDATION,Initial Recommendation,التوصية الأولية
LABEL.ORIGINATING.MAIN.UNIT,Originating Main Unit,الوحدة الأساسية
LABEL.ORIGINATING.SUBUNIT,Originating Subunit,الوحدة الفرعية
LABEL.CURRENT.ASSIGNMENT,Current Assignment,التكليف الحالي
LABEL.SELECT.TYPE,Select Type,النوع
OPTION.ISSUE,Issue,مشكلة
OPTION.GOOD_PRACTICE,Good Practice,ممارسة جيدة
OPTION.SUGGESTION,Suggestion,اقتراح
OPTION.RISK,Risk,مخاطرة
OPTION.OPPORTUNITY,Opportunity,فرصة
BUTTON.LABEL.SAVING,Saving...,جاري الحفظ...
PLACEHOLDER.OBSERVATION.TITLE,Enter observation title...,أدخل عنوان الملاحظة...
PLACEHOLDER.OBSERVATION.SUBJECT,Enter observation subject...,أدخل موضوع الملاحظة...
PLACEHOLDER.DISCUSSION,Enter discussion details...,أدخل تفاصيل المناقشة...
PLACEHOLDER.CONCLUSION,Enter conclusion...,أدخل الخلاصة...
PLACEHOLDER.INITIAL.RECOMMENDATION,Enter initial recommendation...,أدخل التوصية الأولية...
PLACEHOLDER.ORIGINATING.MAIN.UNIT,Enter originating main unit...,أدخل الوحدة الرئيسية المنشئة...
PLACEHOLDER.SELECT.TYPE,Select Type...,اختر النوع...
PLACEHOLDER.SELECT.LEVEL,Select Level...,اختر المستوى...
LABEL.ACTION.NUMBER,Action {number},الإجراء {number}
LABEL.NEW.ACTION,New action...,إجراء جديد...
LABEL.STATUS.COMPLETED,Completed,تم التنفيذ
LABEL.STATUS.PENDING,Pending,قيد التنفيذ
LABEL.STATUS.CANCELLED,Cancelled,ملغي
LABEL.STATUS.UNDEFINED,Undefined,غير محدد
LABEL.LOADING.ACTIONS,Loading actions...,جاري تحميل الإجراءات...
LABEL.NO.ACTIONS.AVAILABLE,No actions available,لا توجد إجراءات متاحة
BUTTON.RETRY,Retry,إعادة المحاولة
BUTTON.ADD.ACTION,Add Action,إضافة إجراء
BUTTON.ADD.FIRST.ACTION,Add First Action,إضافة أول إجراء
LABEL.ADD.NEW.ACTION,Add New Action,إضافة إجراء جديد
LABEL.EDIT.ACTION.STATUS,Edit Action Status,تعديل حالة الاجراء
LABEL.ACTION.DESCRIPTION,Action Description,وصف الإجراء
LABEL.REASONS,Reasons,الاسباب
PLACEHOLDER.ENTER.ACTION.DESCRIPTION,Enter action description,أدخل وصف الإجراء
PLACEHOLDER.ENTER.REASONS,Enter reasons,ادخل الأسباب
BUTTON.ADD,Add,إضافة
BUTTON.SAVE,Save,حفظ
BUTTON.CANCEL,Cancel,الغاء
PAGE.TITLE.OBSERVATION,Observation Page - Component Showcase,صفحة المراقبة - عرض المكونات
LABEL.OBSERVATION.PROCESS,Observation Process,عملية المراقبة
MESSAGE.DRAFT.SAVED.SUCCESS,Draft saved successfully,تم حفظ المسودة بنجاح
MESSAGE.ARTICLE.CREATED.SUCCESS,Article created successfully,تم إنشاء المقال بنجاح
MESSAGE.DRAFT.SAVE.FAILED,Failed to save draft,فشل في حفظ المسودة
MESSAGE.ARTICLE.CREATE.FAILED,Failed to create article,فشل في إنشاء المقال
MESSAGE.FIX.ERRORS.BEFORE.PROCEEDING,Please fix form errors before proceeding,يرجى إصلاح أخطاء النموذج قبل المتابعة
MESSAGE.FIX.ERRORS.BEFORE.SAVING,Please fix form errors before saving,يرجى إصلاح أخطاء النموذج قبل الحفظ
STEP.NAME.THE.DETAILS,The Details,التفاصيل
STEP.NAME.RECOMMENDATIONS.ACTIONS,Recommendations & Actions,التواصي والاجراءات
STEP.NAME.ATTACHMENTS,Attachments,المرفقات
LABEL.EDIT.RECOMMENDATION,Edit Recommendation,تعديل التوصية
LABEL.ADD.NEW.RECOMMENDATION,Add New Recommendation,إضافة توصية جديدة
LABEL.NO.RECOMMENDATIONS.YET,No recommendations yet.,لا توجد توصيات بعد.
LABEL.RECOMMENDATION.TEXT,Recommendation Text,نص التوصية
LABEL.COMBOT_FUNCTION,Combat Function,الوظيفة القتالية
LABEL.RECOMMENDATION,Recommendation,التوصية
PLACEHOLDER.SELECT.COMBOT_FUNCTION,Select Combat Function,اختر الوظيفة القتالية
PLACEHOLDER.RECOMMENDATION,Enter recommendation...,أدخل التوصية...
VALIDATION.COMBOT_FUNCTION.REQUIRED,Combat function is required,الوظيفة القتالية مطلوبة
VALIDATION.RECOMMENDATION.REQUIRED,Recommendation is required,التوصية مطلوبة
VALIDATION.TITLE.REQUIRED,Title is required,العنوان مطلوب
VALIDATION.TITLE.MAX_LENGTH,Title must be less than 256 characters,يجب أن يكون العنوان أقل من 256 حرف
PLACEHOLDER.TITLE,Enter title...,أدخل العنوان...
LABEL.MANAGE.OBSERVATIONS,Manage Observations,قائمة رئيسية
LABEL.INPROGRESS,In Progress,In Progress
MENU.HEADER.OBSERVATION,Manage Observation,Manage Observation
MENU.HEADER.OBSERVATION.NEW,Observation Detail,Observation Detail
LABEL.FORM.ATTACHMENT.TAB.ATTACHMENT.TITLE,Attachment Description,الوصف
LABEL.FORM.ATTACHMENT.TAB.FILENAME,File Name,اسم الملف
LABEL.FORM.ATTACHMENT.TAB.ACTION,Action,الأدوات
ATTACHMENT.NAME,Attachment Name,وصف المرفق
LABEL.POPUP.ATTACHMENTS,Attachments,المرفقات
LABEL.UPLOAD,Upload,تحميل
LABEL.POPUP.ATTACHMENTS.SIZE.HIGHER,Maximum allowed size is 10 MB,الحجم الأقسى المسموح به هو 10 ميجابايت
LABEL.ATTACHMENTS.TOOLTIP.VIEW,View Attachment,عرض المرفق
LABEL.ATTACHMENTS.TOOLTIP.DELETE,Delete Attachment,حذف المرفق
LABEL.UNDERPROCESSING,Under Processing,Under Processing
LABEL.ARCHIVED,Archived,Archived
LABEL.PUBLISHED,Published,Published
MENU.HEADER.OBSERVATION.OBSERVATIONLIST,Observation List,Observation List
